bot,duration_seconds,estimated_frames,target_frames,actual_frames,difference
Bravo,12.36,247,300,247,-53
Bravo,11.58,232,300,232,-68
Bravo,11.88,238,300,238,-62
Bravo,11.7,234,300,234,-66
Bravo,12.0,240,300,240,-60
Bravo,11.01,220,300,220,-80
Bravo,12.2,244,300,244,-56
Bravo,12.3,246,300,246,-54
Bravo,11.88,238,300,238,-62
Bravo,11.64,233,300,233,-67
Bravo,12.36,247,300,247,-53
Bravo,11.58,232,300,232,-68
Bravo,11.88,238,300,238,-62
Bravo,11.7,234,300,234,-66
Bravo,12.0,240,300,240,-60
Bravo,11.01,220,300,220,-80
Bravo,12.2,244,300,244,-56
Bravo,12.3,246,300,246,-54
Bravo,11.88,238,300,238,-62
Bravo,11.64,233,300,233,-67
